Monthly Start Date,Total Nominal Return (%),"Inferred Regime ID (0=Low, 2=High)"
1970-01-30,3.4731557020304358,0.0
1970-03-03,0.13799953300511336,0.0
1970-04-02,-10.07612014493817,1.0
1970-05-01,-6.213163827026229,1.0
1970-06-01,-1.962960013434842,2.0
1970-06-30,5.893379952142072,1.0
1970-07-30,2.289205614292811,1.0
1970-08-28,4.015877841325385,1.0
1970-09-29,-1.5997303358158366,0.0
1970-10-28,2.4520354690213626,0.0
1970-11-27,5.2031879017038625,0.0
1970-12-29,4.779126822767475,0.0
1971-01-28,1.8891235324022766,0.0
1971-03-01,4.847021126606771,0.0
1971-03-30,2.4121128007638877,0.0
1971-04-29,-2.9778581764898835,0.0
1971-05-28,-1.2976479445444942,0.0
1971-06-29,0.46474383397345476,0.0
1971-07-29,2.7163596369518377,0.0
1971-08-27,-1.3910834908663179,0.0
1971-09-28,-1.927584739782834,0.0
1971-10-27,-2.979681742177806,0.0
1971-11-26,8.981606316454387,0.0
1971-12-28,3.0544914745853013,0.0
1972-01-26,4.065650226534172,0.0
1972-02-25,1.715986323613265,0.0
1972-03-27,0.9272555642662496,0.0
1972-04-26,3.293605370339051,0.0
1972-05-25,-1.6518654049342572,0.0
1972-06-26,0.5289106901678586,0.0
1972-07-26,3.8778532140909014,0.0
1972-08-24,-4.621165397755629,0.0
1972-09-25,1.3412994376483875,0.0
1972-10-24,6.815385329805124,0.0
1972-11-24,-1.046587524578746,0.0
1972-12-26,-0.939037732664187,0.0
1973-01-29,-1.2802220375958184,0.0
1973-02-28,0.7689759702600352,0.0
1973-03-29,-4.468761889146434,0.0
1973-04-30,0.18729919355993718,1.0
1973-05-30,-2.731553680714983,1.0
1973-06-28,3.6178224064994478,1.0
1973-07-30,-4.7648424357230255,1.0
1973-08-28,5.8558727802612465,1.0
1973-09-27,1.374589799692142,1.0
1973-10-26,-12.132381706665612,1.0
1973-11-27,-3.1151362312468116,1.0
1973-12-27,2.360298016802623,1.0
1974-01-28,0.8678022369198887,1.0
1974-02-27,0.1115107835370166,1.0
1974-03-28,-4.947313415419138,1.0
1974-04-29,-2.4156268382064283,1.0
1974-05-29,-1.6024524369024045,1.0
1974-06-27,-4.5937153285413705,1.0
1974-07-29,-9.666428515284384,1.0
1974-08-27,-3.70928451926581,1.0
1974-09-26,2.875366882723272,1.0
1974-10-25,0.7815369543019703,1.0
1974-11-25,-2.3864162145084737,1.0
1974-12-26,9.35296728105365,1.0
1975-01-27,8.014782245300802,1.0
1975-02-26,3.3848733067673793,1.0
1975-03-27,2.9876717745864543,1.0
1975-04-28,2.6746735492774394,1.0
1975-05-28,3.634279509595933,1.0
1975-06-26,-3.8296299366747593,1.0
1975-07-28,-4.918973177139824,1.0
1975-08-26,1.0098547109869376,1.0
1975-09-25,4.711867588038669,1.0
1975-10-24,-0.8923608830981418,1.0
1975-11-24,0.7425759408316478,1.0
1975-12-24,9.075445298494186,1.0
1976-01-26,2.9652136407856666,0.0
1976-02-25,0.7548722706760831,0.0
1976-03-25,-0.6882665962836587,0.0
1976-04-26,-2.425384165425297,0.0
1976-05-25,2.7085791688231864,0.0
1976-06-24,1.1484968744790565,0.0
1976-07-26,-1.453308464992159,0.0
1976-08-24,4.412657421236157,0.0
1976-09-23,-4.938185985618781,0.0
1976-10-22,2.00457372453918,0.0
1976-11-23,4.282989755244509,0.0
1976-12-23,-0.08146148791908803,0.0
1977-01-24,-0.8377747473219418,0.0
1977-02-23,-0.3680340460027006,0.0
1977-03-24,0.37867752004266775,0.0
1977-04-25,0.25193311493764314,0.0
1977-05-24,2.626474555148987,0.0
1977-06-23,0.7582506140528957,0.0
1977-07-26,-1.3294356184056852,0.0
1977-08-24,-0.41212725847980397,0.0
1977-09-23,-1.0972352190449692,0.0
1977-10-24,2.8957604833085204,0.0
1977-11-22,-0.9856477317921591,0.0
1977-12-22,-2.3476624058743534,0.0
1978-01-24,-0.16374827229812136,0.0
1978-02-23,3.434897838484245,0.0
1978-03-27,4.06004682706815,0.0
1978-04-25,2.756508402691077,0.0
1978-05-24,-0.061027138419853744,0.0
1978-06-23,2.0911620879092285,0.0
1978-07-25,6.25680302252691,0.0
1978-08-23,-0.540158442135746,0.0
1978-09-22,-1.653550497143441,0.0
1978-10-23,-2.8253586299554962,0.0
1978-11-21,-0.5356876794265686,1.0
1978-12-21,4.649355470193255,1.0
1979-01-23,0.07797393037131795,0.0
1979-02-22,2.1406796237164234,0.0
1979-03-23,0.3022817981407193,0.0
1979-04-24,0.27545248577877834,0.0
1979-05-23,2.6973273801882245,0.0
1979-06-22,-0.26075848429154763,0.0
1979-07-24,5.2951032601490295,0.0
1979-08-22,1.197809318767872,0.0
1979-09-21,-7.893445079018057,0.0
1979-10-22,2.155345898489105,1.0
1979-11-20,5.012683196702114,1.0
1979-12-20,2.757449186877908,1.0
1980-01-22,0.22630377134852075,1.0
1980-02-21,-9.630204441338503,1.0
1980-03-21,0.5854332249675352,1.0
1980-04-22,7.584355225333598,1.0
1980-05-21,8.20296578003414,1.0
1980-06-20,2.516146424878555,1.0
1980-07-22,-0.27849303248645585,1.0
1980-08-20,5.749153792181793,1.0
1980-09-19,1.665993050430485,1.0
1980-10-20,4.007653182053256,1.0
1980-11-19,-4.883017923740608,1.0
1980-12-19,0.7531979464204295,1.0
1981-01-21,-3.0838755386700747,1.0
1981-02-20,5.334417804474646,1.0
1981-03-23,0.017586141330511618,0.0
1981-04-22,-0.3725173681255004,0.0
1981-05-21,1.1639006164865613,0.0
1981-06-22,-4.138610915290047,0.0
