"Date","Three Fund Portfolio","Inflation"
"1970-03-30",9885.12,10130.91
"1970-03-31",9874.66,10132.63
"1970-04-01",9927.17,10135.28
"1970-04-02",9917.91,10137.93
"1970-04-03",9902.96,10140.58
"1970-04-06",9822.27,10148.54
"1970-04-07",9790.99,10151.19
"1970-04-08",9785.82,10153.85
"1970-04-09",9785.35,10156.5
"1970-04-10",9748.37,10159.15
"1970-04-13",9679.15,10167.11
"1970-04-14",9601.89,10169.76
"1970-04-15",9563.87,10172.41
"1970-04-16",9465.8,10175.07
"1970-04-17",9433.17,10177.72
"1970-04-20",9437.5,10185.68
"1970-04-21",9383.19,10188.33
"1970-04-22",9260.65,10190.98
"1970-04-23",9153.41,10193.63
"1970-04-24",9112.25,10196.29
"1970-04-27",8966.51,10204.24
"1970-04-28",8861.25,10206.9
"1970-04-29",9010.04,10209.55
"1970-04-30",8975.64,10212.2
"1970-05-01",8973.17,10213.06
"1970-05-04",8820.09,10215.62
"1970-05-05",8757.43,10216.48
"1970-05-06",8834.38,10217.34
"1970-05-07",8865.34,10218.19
"1970-05-08",8834.17,10219.05
"1970-05-11",8757.73,10221.61
"1970-05-12",8713.02,10222.47
"1970-05-13",8637.52,10223.33
"1970-05-14",8525.43,10224.18
"1970-05-15",8649.1,10225.04
"1970-05-18",8645.04,10227.6
"1970-05-19",8555.39,10228.46
"1970-05-20",8374.96,10229.31
"1970-05-21",8251.37,10230.17
"1970-05-22",8237.25,10231.03
"1970-05-25",8026.06,10233.59
"1970-05-26",7923.22,10234.45
"1970-05-27",8181.09,10235.3
"1970-05-28",8319.88,10236.16
"1970-05-29",8434.94,10237.02
"1970-06-01",8561.65,10240.5
"1970-06-02",8600.4,10242.26
"1970-06-03",8678.32,10244.03
"1970-06-04",8577.59,10245.8
"1970-06-05",8506.73,10247.57
"1970-06-08",8481.8,10252.87
"1970-06-09",8489.78,10254.64
"1970-06-10",8418.58,10256.41
"1970-06-11",8324.94,10258.18
"1970-06-12",8291.3,10259.95
"1970-06-15",8297.1,10265.25
"1970-06-16",8458.64,10267.02
"1970-06-17",8434.44,10268.79
"1970-06-18",8475.54,10270.56
"1970-06-19",8514.52,10272.33
"1970-06-22",8467.72,10277.63
"1970-06-23",8350.67,10279.4
"1970-06-24",8331.48,10281.17
"1970-06-25",8330.21,10282.94
"1970-06-26",8293.88,10284.7
"1970-06-29",8270.98,10290.01
"1970-06-30",8287.64,10291.78
"1970-07-01",8335.1,10293.49
"1970-07-02",8349.77,10295.2
"1970-07-06",8275.25,10302.05
"1970-07-07",8231.01,10303.76
"1970-07-08",8356.74,10305.47
"1970-07-09",8439.61,10307.18
"1970-07-10",8462.63,10308.89
"1970-07-13",8466.92,10314.02
"1970-07-14",8466.95,10315.74
"1970-07-15",8540.89,10317.45
"1970-07-16",8621.6,10319.16
"1970-07-17",8737.18,10320.87
"1970-07-20",8736.65,10326
"1970-07-21",8696.16,10327.71
"1970-07-22",8678.76,10329.43
"1970-07-23",8791.79,10331.14
"1970-07-24",8771.04,10332.85
"1970-07-27",8753.02,10337.98
"1970-07-28",8746.65,10339.69
"1970-07-29",8773.07,10341.4
"1970-07-30",8779.69,10343.12
"1970-07-31",8756.47,10344.83
"1970-08-03",8660.86,10344.83
"1970-08-04",8659.8,10344.83
"1970-08-05",8645.29,10344.83
"1970-08-06",8650.35,10344.83
"1970-08-07",8653.58,10344.83
"1970-08-10",8566.95,10344.83
"1970-08-11",8526.97,10344.83
"1970-08-12",8469.92,10344.83
"1970-08-13",8436.02,10344.83
"1970-08-14",8452.54,10344.83
"1970-08-17",8446.73,10344.83
"1970-08-18",8510.35,10344.83
"1970-08-19",8581.07,10344.83
"1970-08-20",8646.09,10344.83
"1970-08-21",8753.5,10344.83
"1970-08-24",8942.27,10344.83
"1970-08-25",8973.1,10344.83
"1970-08-26",8994.2,10344.83
"1970-08-27",8976.22,10344.83
"1970-08-28",9036.36,10344.83
"1970-08-31",9029.63,10344.83
"1970-09-01",8959,10346.6
"1970-09-02",8952.55,10348.36
"1970-09-03",9051.52,10350.13
"1970-09-04",9125.52,10351.9
"1970-09-08",9134.88,10358.97
"1970-09-09",9128.79,10360.74
"1970-09-10",9099.98,10362.51
"1970-09-11",9117.53,10364.28
"1970-09-14",9090.42,10369.58
"1970-09-15",9047.83,10371.35
"1970-09-16",9101.56,10373.12
"1970-09-17",9170.39,10374.89
"1970-09-18",9223.06,10376.66
"1970-09-21",9172.46,10381.96
"1970-09-22",9158.1,10383.73
"1970-09-23",9251.72,10385.5
"1970-09-24",9311.29,10387.27
"1970-09-25",9349.6,10389.04
"1970-09-28",9344.03,10394.34
"1970-09-29",9373.48,10396.11
"1970-09-30",9390.03,10397.88
"1970-10-01",9388.91,10399.59
"1970-10-02",9466.18,10401.3
"1970-10-05",9594.13,10406.43
"1970-10-06",9624.48,10408.15
"1970-10-07",9633.07,10409.86
"1970-10-08",9525.28,10411.57
"1970-10-09",9456.74,10413.28
"1970-10-12",9380.3,10418.41
"1970-10-13",9350.45,10420.12
"1970-10-14",9347.28,10421.84
"1970-10-15",9372.19,10423.55
"1970-10-16",9317.37,10425.26
"1970-10-19",9239.19,10430.39
"1970-10-20",9262.02,10432.1
"1970-10-21",9251.39,10433.82
"1970-10-22",9211.28,10435.53
"1970-10-23",9253.35,10437.24
"1970-10-26",9200.92,10442.37
"1970-10-27",9195.74,10444.08
"1970-10-28",9216.48,10445.79
"1970-10-29",9235.15,10447.51
"1970-10-30",9232.12,10449.22
"1970-11-02",9258.31,10454.47
"1970-11-03",9296.74,10456.23
"1970-11-04",9317.29,10458
"1970-11-05",9310.52,10459.77
"1970-11-06",9325.45,10461.54
"1970-11-09",9374.08,10466.84
"1970-11-10",9362.9,10468.61
"1970-11-11",9370.47,10470.38
"1970-11-12",9328.12,10472.15
"1970-11-13",9227.27,10473.92
"1970-11-16",9213.45,10479.22
"1970-11-17",9223.19,10480.99
"1970-11-18",9177.8,10482.76
"1970-11-19",9229.7,10484.53
"1970-11-20",9366.62,10486.3
"1970-11-23",9419.38,10491.6
"1970-11-24",9411.11,10493.37
"1970-11-25",9424.01,10495.14
"1970-11-27",9490.11,10498.67
"1970-11-30",9595.66,10503.98
"1970-12-01",9646.05,10505.69
"1970-12-02",9753.79,10507.4
"1970-12-03",9804.32,10509.11
"1970-12-04",9859.37,10510.82
"1970-12-07",9885.84,10515.96
"1970-12-08",9853.64,10517.67
"1970-12-09",9823.91,10519.38
"1970-12-10",9847.59,10521.09
"1970-12-11",9885.5,10522.8
"1970-12-14",9833.61,10527.94
"1970-12-15",9796.78,10529.65
"1970-12-16",9784.79,10531.36
"1970-12-17",9809.84,10533.07
"1970-12-18",9830.89,10534.78
"1970-12-21",9810.29,10539.92
"1970-12-22",9811.03,10541.63
"1970-12-23",9820.53,10543.34
"1970-12-24",9879.36,10545.05
"1970-12-28",9927.34,10551.9
"1970-12-29",9986.98,10553.61
"1970-12-30",10008.3,10555.32
"1970-12-31",9998.49,10557.03
"1971-01-04",9919.55,10557.03
"1971-01-05",10004.24,10557.03
"1971-01-06",10063.73,10557.03
"1971-01-07",10081.28,10557.03
"1971-01-08",10087.16,10557.03
"1971-01-11",10083.89,10557.03
"1971-01-12",10154.53,10557.03
"1971-01-13",10132.83,10557.03
"1971-01-14",10164.08,10557.03
"1971-01-15",10177.53,10557.03
"1971-01-18",10253.16,10557.03
"1971-01-19",10286.1,10557.03
"1971-01-20",10255.75,10557.03
"1971-01-21",10291.57,10557.03
"1971-01-22",10369.37,10557.03
"1971-01-25",10435.73,10557.03
"1971-01-26",10443.69,10557.03
"1971-01-27",10413.3,10557.03
"1971-01-28",10450.51,10557.03
"1971-01-29",10513.38,10557.03
"1971-02-01",10566.45,10557.98
"1971-02-02",10548.2,10558.92
"1971-02-03",10554,10559.87
"1971-02-04",10567.05,10560.82
"1971-02-05",10633.29,10561.77
"1971-02-08",10708.68,10564.61
"1971-02-09",10678.32,10565.56
"1971-02-10",10675.75,10566.5
"1971-02-11",10728.2,10567.45
"1971-02-12",10756.54,10568.4
"1971-02-16",10775.67,10572.19
"1971-02-17",10713.69,10573.13
"1971-02-18",10670.59,10574.08
"1971-02-19",10619,10575.03
